サブプロット,階層,種名,DK2000,被度2007,被度2013,被度2019,被度2025,date,photo
23,B2,ヤマモミジ,0,0,3,0,0.2,2025/08/19,
23,C,アカミノルイヨウショウマ,0.5,0,0,0,,2025/08/19,
23,C,オシダ,0,0,1,0,0.2,2025/08/19,
23,C,カメバヒキオコシ,2,0.5,0.2,1,2,2025/08/19,
23,C,クルマバソウ,0,0.5,0,0,,2025/08/19,
23,C,クルマバハグマ,0,0,0.5,0.5,0.1,2025/08/19,
23,C,コカンスゲ,5,0,0,0,,2025/08/19,
23,C,シラネワラビ,5,15,25,30,28,2025/08/19,
23,C,タニギキョウ,2,0,0,0,0.2,2025/08/19,
23,C,ツクバネソウ,0,0,0.1,0.1,,2025/08/19,
23,C,ヒメモチ,0,0,0.1,0.1,0.2,2025/08/19,
23,C,ホソバナライシダ,0,0.5,0,0,,2025/08/19,
23,C,ミヤマカンスゲ,0,10,2,2,1,2025/08/19,
23,C,ヤマソテツ,2,2,2,2,1.5,2025/08/19,
23,C,ヤマドリゼンマイ,0.5,0,0,0.5,3,2025/08/19,
23,C,ユキザサ,1,2,0.2,0.5,0.2,2025/08/19,
23,S,チシマザサ,9,80,20,10,8,2025/08/19,
23,,エンレイソウ,,,,,0.1,2025/08/19,
23,,ツリバナ,,,,,0.2,2025/08/19,
24,B2,アオダモ,0,0,0.2,0.1,0.5,2025/08/19,
24,B2,ウリハダカエデ,0.5,3,1,0.5,2,2025/08/19,
24,B2,ウワミズザクラ,1,5,3,5,3,2025/08/19,
24,B2,オオカメノキ,5,8,5,6,6,2025/08/19,
24,B2,オオバクロモジ,4,5,1,3,0.5,2025/08/19,
24,B2,コシアブラ,0,0,0.1,0.5,0.5,2025/08/19,
24,B2,コマユミ,2,0,0.1,0,,2025/08/19,
24,B2,サワフタギ,4,6,3,2,3,2025/08/19,
24,B2,ツリバナ,0,0.5,0,0.5,,2025/08/19,
24,B2,トチノキ,0,0,0.1,0.1,,2025/08/19,
24,B2,ナナカマド,0,0.5,0.2,0.5,0.1,2025/08/19,
24,B2,ハイイヌガヤ,0,0.5,0.2,0.1,0.1,2025/08/19,
24,B2,ハウチワカエデ,0,0,0,0.1,,2025/08/19,
24,B2,ハリギリ,0,6,0,0,,2025/08/19,
24,B2,ヒメアオキ,0,4,3,2,0.1,2025/08/19,
24,B2,ブナ,5,15,0.5,1,2,2025/08/19,
24,B2,マユミ,4,0,0,0,,2025/08/19,
24,B2,ミズキ,3,0,0,0,,2025/08/19,
24,B2,ヤマウルシ,0,1,0.5,0.5,1,2025/08/19,
24,B2,ヤマモミジ,0,4,1,0.1,,2025/08/19,
24,C,カメバヒキオコシ,0.5,0,0,0,,2025/08/19,
24,C,コカンスゲ,5,0,0,0,,2025/08/19,
24,C,シラネワラビ,7,25,25,30,28,2025/08/19,
24,C,タチシオデ,0,0.5,0.1,0.1,,2025/08/19,
24,C,ハイイヌツゲ,2,0,0,0,,2025/08/19,
24,C,ヒメモチ,0,0,0.2,0.5,1.5,2025/08/19,
24,C,ミヤマカンスゲ,0,10,5,3,1,2025/08/19,
24,C,ヤマソテツ,3,3,2,4,3.5,2025/08/19,
24,C,ユキザサ,4,6,0.2,0.1,0.2,2025/08/19,
24,S,チシマザサ,9,60,40,10,15,2025/08/19,
24,,オシダ,,,,,2,2025/08/19,
25,B2,アオダモ,0.5,0.5,0.5,0.1,0.2,2025/08/19,
25,B2,イタヤカエデ,0,0,0.1,0.3,1,2025/08/19,
25,B2,ウリハダカエデ,0,0,0.2,0.2,1,2025/08/19,
25,B2,ウワミズザクラ,3,3,1,1,3,2025/08/19,
25,B2,オオカメノキ,4,5,2,7,5,2025/08/19,
25,B2,オオバクロモジ,4,5,2,1,1.5,2025/08/19,
25,B2,クサアジサイ,1,0,0,0,,2025/08/19,
25,B2,コシアブラ,0,2,0,0.3,0.2,2025/08/19,
25,B2,コマユミ,2,0.5,0,0,,2025/08/19,
25,B2,サワフタギ,3,5,10,10,10,2025/08/19,
25,B2,ツノハシバミ,0,0.5,0.2,0,0.5,2025/08/19,
25,B2,ツリバナ,0,1,0.2,0,0.5,2025/08/19,
25,B2,ナナカマド,0.5,0,0,0,,2025/08/19,
25,B2,ノリウツギ,1,0,0,0,,2025/08/19,
25,B2,ハイイヌガヤ,0,2,1,0.5,1,2025/08/19,
25,B2,ハウチワカエデ,0.5,0,0,1,0.1,2025/08/19,
25,B2,ヒメアオキ,0,2,0.5,0.2,1,2025/08/19,
25,B2,ブナ,5,15,2,3,2,2025/08/19,
25,B2,ホオノキ,1,0,0,0,,2025/08/19,
25,B2,ミズキ,4,1,0.5,2,1,2025/08/19,
25,B2,ヤマモミジ,0,0,0.1,0.1,,2025/08/19,
25,C,エンレイソウ,0,0,0,0.1,0.1,2025/08/19,
25,C,コカンスゲ,5,0,0,0,,2025/08/19,
25,C,シラネワラビ,5,15,15,25,25,2025/08/19,
25,C,タケシマラン,0,0.5,0.1,0.1,,2025/08/19,
25,C,タニギキョウ,1,1,0,0,,2025/08/19,
25,C,ツクバネソウ,0.5,0.5,0,0,0.1,2025/08/19,
25,C,テンニンソウ,0,0,0.5,0.3,,2025/08/19,
25,C,ハイイヌツゲ,0.5,1,0.5,0.2,0.5,2025/08/19,
25,C,ヒメモチ,0,1,1,0.5,0.5,2025/08/19,
25,C,ホウチャクソウ,0.5,0,0,0,,2025/08/19,
25,C,ミヤマカンスゲ,0,12,20,10,5,2025/08/19,
25,C,ヤマイヌワラビ,0,0.5,0.2,0.1,0.1,2025/08/19,
25,C,ヤマソテツ,1,1,4,2,3,2025/08/19,
25,C,ユキザサ,4,4,2,0.5,0.5,2025/08/19,
25,S,チシマザサ,9,40,20,20,10,2025/08/19,
25,,チゴユリ,,,,,0.1,2025/08/19,
